Course{code='ANT473H1', courseName='Ethnographic Practicum: The University', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT474H1', courseName='Ethnographies of HIV/AIDS: Risk, Vulnerability, and Care', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT475H1', courseName='Reading Ethnography', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT477H1', courseName='Transnational Korea in and outside the Peninsula', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT498H1', courseName='Independent Research', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT498H1', courseName='Independent Research', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ANT499H1', courseName='Independent Research', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT499H1', courseName='Independent Research', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT499H1', courseName='Independent Research', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ARH305H1', courseName='Archaeological Interpretation', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ARH309H1', courseName='Archaeology, Ethics, and the Public', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ARH312Y1', courseName='Archaeological Laboratory', credits='1.00', campus='St. George', department='Anthropology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ARH361H1', courseName='Field Archaeology', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ARH361H1', courseName='Field Archaeology', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ARH361H1', courseName='Field Archaeology', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ARH361Y1', courseName='Field Archaeology', credits='1.00', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ARH361Y1', courseName='Field Archaeology', credits='1.00', campus='St. George', department='Anthropology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ARH495H1', courseName='Archaeology Research Practicum', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ARH495H1', courseName='Archaeology Research Practicum', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='BCH441H1', courseName='Bioinformatics', credits='0.5', campus='St. George', department='Biochemistry', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='BCB330Y1', courseName='Special Project in Bioinformatics and Computational Biology', credits='1.00', campus='St. George', department='Biochemistry', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='BCB410H1', courseName='Applied Bioinformatics', credits='0.5', campus='St. George', department='Biochemistry', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='BCB420H1', courseName='Computational Systems Biology', credits='0.5', campus='St. George', department='Biochemistry', term='2019 Winter', division='Faculty of Arts and Science'}
